"Part No.",A,B,C,D,E,F,G,"Path length","Window area"
18,35.7,42.9,7.14,21.4,7.14,7.14,14.3,8.57,1.53
35,47.6,57.2,9.53,28.6,9.53,9.53,19.1,11.4,2.72
147,55.6,66.7,11.1,33.3,11.1,11.1,22.2,13.3,3.7
29,63.5,76.2,12.7,38.1,12.7,12.7,25.4,15.2,4.84
196,71.4,85.7,14.3,42.9,14.3,14.3,28.6,17.1,6.13
78,79.4,95.3,15.9,47.6,15.9,15.9,31.8,19.1,7.56
120,95.3,114,19.1,57.2,19.1,19.1,38.1,22.9,10.9
248,111,133,22.2,66.7,22.2,22.2,44.5,26.7,14.8
638,135,162,27,81,27,27,54,32.4,21.8
750,159,191,31.8,95.3,31.8,31.8,63.5,38.1,30.2
825,175,216,34.9,105,34.9,34.9,69.9,41.9,41.8
9,191,229,38.1,114,38.1,38.1,76.2,45.7,43.5
217,222,267,44.45,133.3,44.45,44.45,88.9,53.34,59.27
135,286,343,57.2,171,57.2,57.2,114,68.6,98
218,15.8,19.1,2.36,11.1,2.36,4.75,4.76,4.13,0.528
262,19,25.4,318,12.7,318,6.35,6.35,5.08,0.806
250,28.6,34.9,4.76,19.1,4.76,7.94,9.53,7.3,1.51
39,34.9,41.3,4.35,22.2,4.35,9.53,9.53,8.92,2.12
621,26.6,34.1,4.75,17.1,4.75,6.76,11.1,6.67,1.15
641,184,216,31.8,121,31.8,44.5,63.5,45.7,53.6
122,279,241,38.1,203,38.1,44.5,76.2,63.5,90.3
