"bare wire diameter","grade 1 diameter","grade 2 diameter"
0.032,0.039,0.043
0.034,0.041,0.046
0.036,0.044,0.049
0.038,0.046,0.051
0.04,0.049,0.054
0.043,0.052,0.058
0.045,0.055,0.061
0.048,0.059,0.065
0.05,0.06,0.066
0.053,0.064,0.07
0.056,0.067,0.074
0.06,0.072,0.079
0.063,0.076,0.083
0.067,0.08,0.088
0.071,0.084,0.091
0.075,0.089,0.095
0.08,0.094,0.101
0.085,0.1,0.107
0.09,0.105,0.113
0.095,0.111,0.119
0.1,0.117,0.125
0.106,0.123,0.132
0.112,0.13,0.139
0.118,0.136,0.145
0.125,0.144,0.154
0.132,0.152,0.162
0.14,0.16,0.171
0.15,0.171,0.182
0.16,0.182,0.199
0.17,0.194,0.205
0.18,0.204,0.217
0.19,0.216,0.228
0.2,0.226,0.239
0.212,0.24,0.254
0.224,0.252,0.266
0.236,0.267,0.283
0.25,0.281,0.297
0.265,0.297,0.314
0.28,0.312,0.329
0.3,0.334,0.352
0.315,0.349,0.367
0.335,0.372,0.391
0.355,0.392,0.411
0.375,0.414,0.434
0.4,0.439,0.459
0.425,0.466,0.488
0.45,0.491,0.513
0.475,0.519,0.541
0.5,0.544,0.566
0.53,0.058,0.6
0.56,0.606,0.63
0.6,0.649,0.674
0.63,0.679,0.704
0.67,0.722,0.749
0.71,0.762,0.789
0.75,0.805,0.834
0.8,0.855,0.884
0.85,0.909,0.939
0.9,0.959,0.989
0.95,1.012,1.044
1.0,1.062,1.094
1.06,1.124,1.157
1.12,1.184,1.217
1.18,1.246,1.279
1.25,1.316,1.349
1.32,1.388,1.422
1.4,1.468,1.502
1.5,1.57,1.602
1.6,1.67,1.706
1.7,1.772,1.809
1.8,1.872,1.909
1.9,1.974,2.012
2.0,2.074,2.112
2.12,2.196,2.235
2.24,2.316,2.355
2.36,2.438,2.478
2.5,2.578,2.618
2.65,2.73,2.772
2.8,2.88,2.922
3.0,3.083,3.126
3.15,3.233,3.276
3.35,3.435,3.479
3.55,3.635,3.679
3.75,3.838,3.883
4.0,4.088,4.133
4.25,4.341,4.387
4.5,4.591,4.637
4.75,4.843,4.891
5.0,5.093,5.141
